author,conference,title,year
"{'Rajiv T. Maheswaran', 'Pedro A. Szekely', 'Tim Harbers'}",AAAI,"centralized, distributed or something else? making timely decisions in multi-agent systems.",2007
"{'Quang Duong', 'David C. Parkes'}",AAAI,an ironing-based approach to adaptive online mechanism design in single-valued domains.,2007
"{'Tuomas Sandholm', 'Mohammad Taghi Hajiaghayi', 'Robert D. Kleinberg'}",AAAI,automated online mechanism design and prophet inequalities.,2007
"{'Feng Pan', 'Jerry R. Hobbs', 'Rutu Mulkar'}",AAAI,modeling and learning vague event durations for temporal reasoning.,2007
"{'Sarvapali D. Ramchurn', 'Andrea Giovannucci', 'Talal Rahwan', 'Viet Dung Dang', 'Nicholas R. Jennings'}",AAAI,anytime optimal coalition structure generation.,2007
"{'Thomas Stützle', 'Frank Hutter', 'Holger H. Hoos'}",AAAI,automatic algorithm configuration based on local search.,2007
"{'Michael Buro', 'Alexander Kovarsky'}",AAAI,concurrent action execution with shared fluents.,2007
"{'John E. Laird', 'Samuel Wintermute'}",AAAI,predicate projection in a bimodal spatial reasoning system.,2007
"{'Barbara Rosario', 'Nilesh Shah', 'Shie Mannor', 'Branislav Kveton', 'Prashant Gandhi', 'Georgios Theocharous'}",AAAI,adaptive timeout policies for fast fine-grained power management.,2007
"{'Takuichi Nishimura', 'Yutaka Matsuo', 'Hironori Tomobe'}",AAAI,robust estimation of google counts for social network extraction.,2007
"{'David V. Pynadath', 'Stacy Marsella'}",AAAI,minimal mental models.,2007
{'Bhaskar Mehta'},AAAI,unsupervised shilling detection for collaborative filtering.,2007
"{'Sylvie Thiébaux', 'Yannick Pencolé', 'Anika Schumann'}",AAAI,a spectrum of symbolic on-line diagnosis approaches.,2007
"{'Bart Selman', 'Carla P. Gomes', 'Willem Jan van Hoeve', 'Ashish Sabharwal'}",AAAI,counting csp solutions using generalized xor constraints.,2007
"{'Michael H. Bowling', 'Nolan Bard'}",AAAI,particle filtering for dynamic agent modelling in simplified poker.,2007
{'Scott W. McQuiggan'},AAAI,responding to student affect and efficacy through empathetic companion agents in interactive learning environments.,2007
"{'Denver Dash', 'Tomás Singliar'}",AAAI,cod: online temporal clustering for outbreak detection.,2007
"{'Wiebe van der Hoek', 'Paul E. Dunne', 'Thomas Ågotnes', 'Michael Wooldridge'}",AAAI,logic for automated mechanism design - a progress report.,2007
{'Antonio Roque'},AAAI,reacting to agreement and error in spoken dialogue systems using degrees of groundedness.,2007
"{'Changshui Zhang', 'Tao Li', 'Fei Wang 0001'}",AAAI,clustering with local and global regularization.,2007
"{'Jeffrey Junfeng Pan', 'Qiang Yang 0001', 'Sinno Jialin Pan', 'James T. Kwok'}",AAAI,adaptive localization in a dynamic wifi environment through multi-view learning.,2007
"{'Geert-Jan M. Kruijff', 'Jeremy L. Wyatt', 'Gregor Berginc', 'Michael Brenner', 'Nick Hawes', 'Michael Zillich', 'Danijel Skocaj', 'Aaron Sloman', 'Henrik Jacobsson'}",AAAI,towards an integrated robot with multiple cognitive functions.,2007
"{'Steven M. LaValle', ""Jason M. O'Kane""}",AAAI,dominance and equivalence for sensor-based agents.,2007
"{'John-Jules Ch. Meyer', 'Mehdi Dastani', 'Brian Logan', 'Natasha Alechina'}",AAAI,a logic of agent programs.,2007
{'Andy Hon Wai Chun'},AAAI,using ai for e-government automatic assessment of immigration application forms.,2007
"{'Andrey Glaschenko', 'Alexander Chevelev', 'Igor Kiselev', 'Petr Skobelev'}",AAAI,towards an adaptive approach for distributed resource allocation in a multi-agent system for solving dynamic vehicle routing problems.,2007
"{""Ya'akov Gal"", 'Avi Pfeffer'}",AAAI,modeling reciprocal behavior in human bilateral negotiation.,2007
"{'Christopher Dugan', 'William C. Regli', 'Evan Sultanik', 'Robert N. Lass', 'Duc N. Nguyen', 'Christopher J. Carpenter', 'Pragnesh Jay Modi', 'Joseph Kopena', 'Gaurav Naik'}",AAAI,disaster evacuation support.,2007
"{'Nitesh V. Chawla', 'Kevin W. Bowyer'}",AAAI,actively exploring creation of face space(s) for improved face recognition.,2007
"{'Ronen I. Brafman', 'Yan Virin', 'Solomon Eyal Shimony', 'Guy Shani'}",AAAI,scaling up: solving pomdps through value based clustering.,2007
"{'Alexander Russell', 'Yuan Su', 'Hang T. Dinh'}",AAAI,on the value of good advice: the complexity of a* search with accurate heuristics.,2007
"{'Eugenio Di Sciascio', 'Azzurra Ragone', 'Francesco M. Donini', 'Tommaso Di Noia'}",AAAI,description logics for multi-issue bilateral negotiation with incomplete information.,2007
"{'Andreas Krause 0001', 'Carlos Guestrin'}",AAAI,near-optimal observation selection using submodular functions.,2007
"{'Moshe Tennenholtz', 'Dov Monderer', 'Itai Ashlagi'}",AAAI,learning equilibrium in resource selection games.,2007
"{'Chengqi Zhang', 'Xindong Wu', 'Xiaofeng Zhu', 'Shichao Zhang', 'Jilian Zhang'}",AAAI,measuring the uncertainty of differences for contrasting groups.,2007
"{'Martin Henz', 'Wee-Chong Oon'}",AAAI,m2ical analyses hc-gammon.,2007
"{'Robin Cohen', 'Jie Zhang 0002'}",AAAI,design of a mechanism for promoting honesty in e-marketplaces.,2007
"{""Ya'akov Gal"", 'Avi Pfeffer'}",AAAI,on the reasoning patterns of agents in games.,2007
"{'Thomas K. Harris', 'Alexander I. Rudnicky'}",AAAI,teamtalk: a platform for multi-human-robot dialog research in coherent real and virtual spaces.,2007
{'Julien Laumonier'},AAAI,reinforcement using supervised learning for policy generalization.,2007
"{'David Sarne', 'Barbara J. Grosz', 'Ece Kamar'}",AAAI,modeling user perception of interaction opportunities in collaborative human-computer settings.,2007
"{'Yunyao Li', 'Ishan Chaudhuri', 'Huahai Yang', 'H. V. Jagadish', 'Satinder P. Singh'}",AAAI,enabling domain-awareness for a generic natural language interface.,2007
"{'Ryohei Nakano', 'Kazumi Saito', 'Masahiro Kimura'}",AAAI,extracting influential nodes for information diffusion on a social network.,2007
"{'Xiaojun Wan 0001', 'Jianwu Yang'}",AAAI,single document summarization with document expansion.,2007
{'M. Esmaeili'},AAAI,classifiers fusion for eeg signals processing in human-computer interface systems.,2007
"{'Saleema Amershi', 'Kasia Muldner', 'Christina Merten', 'Cristina Conati'}",AAAI,using eye-tracking data for high-level user modeling in adaptive interfaces.,2007
"{'Tao Xiong', 'Jinbo Bi'}",AAAI,a mathematical programming formulation for sparse collaborative computer aided diagnosis.,2007
"{'Benjamin Lambert', 'Scott E. Fahlman'}",AAAI,knowledge-driven learning and discovery.,2007
{'Liad Blumrosen'},AAAI,implementing the maximum of monotone algorithms.,2007
{'Murat Sensoy'},AAAI,a framework for ontology-based service selection in dynamic environments.,2007
"{'Achille Fokoue', 'Aaron Kershenbaum', 'Julian Dolby', 'Kavitha Srinivas', 'Aditya Kalyanpur', 'Li Ma', 'Edith Schonberg'}",AAAI,scalable semantic retrieval through summarization and refinement.,2007
"{'Christopher Riesbeck', 'Kevin Livingston', 'Leo C. Ureel II', 'Kenneth D. Forbus', 'Abhishek B. Sharma', 'Lawrence Birnbaum'}",AAAI,"integrating natural language, knowledge representation and reasoning, and analogical processing to learn by reading.",2007
"{'Hongxia Jin', 'Philip Zigoris'}",AAAI,adaptive traitor tracing with bayesian networks.,2007
"{'Hoifung Poon', 'Pedro M. Domingos'}",AAAI,joint inference in information extraction.,2007
"{'Lawrence J. Mazlack', 'Pavel Klinov'}",AAAI,on possible applications of rough mereology to handling granularity in ontological knowledge.,2007
"{'Octavian Udrea', 'Andrea Pugliese 0001', 'V. S. Subrahmanian'}",AAAI,grin: a graph based rdf index.,2007
"{'Anbulagan', 'Elena Kelareva', 'Jussi Rintanen', 'Alban Grastien'}",AAAI,diagnosis of discrete-event systems using satisfiability algorithms.,2007
"{'John C. Stamper', 'Tiffany Barnes', 'Marvin J. Croy'}",AAAI,extracting student models for intelligent tutoring systems.,2007
"{'Philipp Cimiano', 'Egon Stemle', 'Sebastian Blohm'}",AAAI,harvesting relations from the web - quantifiying the impact of filtering functions.,2007
"{'Wanwan Ren', 'Vladimir Lifschitz'}",AAAI,the semantics of variables in action descriptions.,2007
"{'Daniel Golovin', 'Stephen F. Smith', 'Matthew J. Streeter'}",AAAI,combining multiple heuristics online.,2007
"{'Geert-Jan M. Kruijff', 'Hendrik Zender', 'Patric Jensfelt', 'Óscar Martínez Mozos', 'Wolfram Burgard'}",AAAI,an integrated robotic system for spatial understanding and situated interaction in indoor environments.,2007
"{'Sébastien Tabary', 'Lakhdar Sais', 'Vincent Vidal', 'Christophe Lecoutre'}",AAAI,transposition tables for constraint satisfaction.,2007
